,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
4342,1223959-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-03,WELLPET LLC,LAEM CHABANG,LOS ANGELES,3904.59,3008.24,896.35,3630.5,3904.59,274.09,18227.0,40.0,1.0,40',18226.83
4387,1224001-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-17,WELLPET LLC,LAEM CHABANG,NEW YORK,4895.5,4283.5,612.0,4670.0,4895.5,225.5,14722.0,40.0,1.0,40',14722.1
4388,1224002-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-17,WELLPET LLC,LAEM CHABANG,NEW YORK,5074.85,4362.85,712.0,4880.0,5074.85,194.85,12882.0,40.0,1.0,40',12882.17
4389,1224003-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-17,WELLPET LLC,LAEM CHABANG,NEW YORK,4953.74,4462.32,491.42,4740.0,4953.74,213.74,15417.0,40.0,1.0,40',15417.36
4390,1224004-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-17,WELLPET LLC,LAEM CHABANG,NEW YORK,5084.09,4402.09,682.0,4830.0,5084.09,254.09,17241.0,40.0,1.0,40',17241.38
4444,1224051-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-24,WELLPET LLC,LAEM CHABANG,NEW YORK,4954.64,4287.64,667.0,4785.0,4954.64,169.64,13048.0,40.0,1.0,40',13048.0
4445,1224052-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-24,WELLPET LLC,LAEM CHABANG,NEW YORK,5347.41,4680.41,667.0,5128.75,5347.41,218.66,18892.0,40.0,1.0,40',18892.5
4446,1224053-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-25,WELLPET LLC,LAEM CHABANG,NEW YORK,5206.5,4558.43,648.07,4950.0,5206.5,256.5,20320.0,40.0,1.0,40',20320.0
4447,1224054-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-25,WELLPET LLC,LAEM CHABANG,NEW YORK,5322.16,4655.16,667.0,5080.0,5322.16,242.16,19165.0,40.0,1.0,40',19165.0
4448,1224055-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-24,WELLPET LLC,LAEM CHABANG,NEW YORK,5121.72,4439.72,682.0,4830.0,5121.72,291.72,19565.0,40.0,1.0,40',19565.28
4487,1224094-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-18,WELLPET LLC,LAEM CHABANG,LOS ANGELES,3356.5,2636.04,720.46,3259.0,3356.5,97.5,6710.0,20.0,1.0,20DV,0.0
4504,1224109-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-10,WELLPET LLC,LAEM CHABANG,NEW YORK,5417.12,4643.87,773.25,5162.5,5417.12,254.62,18451.0,40.0,1.0,40',18450.92
4505,1224110-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-10,WELLPET LLC,LAEM CHABANG,NEW YORK,5671.39,4899.39,772.0,5462.5,5671.39,208.89,19435.0,40.0,1.0,40',19435.0
4507,1224112-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-10,WELLPET LLC,LAEM CHABANG,NEW YORK,5435.44,4594.69,840.75,5207.5,5435.44,227.94,17220.0,40.0,1.0,40',17220.0
4508,1224113-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-10,WELLPET LLC,LAEM CHABANG,NEW YORK,5108.47,4558.94,549.53,4895.0,5108.47,213.47,13257.0,40.0,1.0,40',13257.2
4513,1224115-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-10,WELLPET LLC,LAEM CHABANG,NEW YORK,4919.46,4237.46,682.0,4740.0,4919.46,179.46,11250.0,40.0,1.0,40',11250.0
4514,1224116-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-10,WELLPET LLC,LAEM CHABANG,NEW YORK,4949.98,5024.98,-75.0,4740.0,4949.98,209.98,13065.0,40.0,1.0,40',13064.5
4515,1224117-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-01,WELLPET LLC,LAEM CHABANG,LOS ANGELES,3320.23,2677.4,642.83,3167.09,3320.23,153.14,12980.0,20.0,1.0,20DV,12980.0
4557,1224158-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-08,WELLPET LLC,LAEM CHABANG,NEW YORK,4976.3,4299.3,677.0,4846.25,4976.3,130.05,8260.0,40.0,1.0,40',8260.0
4558,1224159-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-08,WELLPET LLC,LAEM CHABANG,NEW YORK,5428.53,4661.53,767.0,5191.25,5428.53,237.28,15081.0,40.0,1.0,40',15081.0
4559,1224160-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-08,WELLPET LLC,LAEM CHABANG,NEW YORK,5259.4,4549.19,710.21,5130.0,5259.4,129.4,11419.0,40.0,1.0,40',11419.2
4560,1224161-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-08,WELLPET LLC,LAEM CHABANG,NEW YORK,4882.78,4200.78,682.0,4740.0,4882.78,142.78,9976.0,40.0,1.0,40',9975.7
4571,1224163-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-08,WELLPET LLC,LAEM CHABANG,NEW YORK,4963.21,4296.21,667.0,4785.0,4963.21,178.21,11328.0,40.0,1.0,40',11328.0
4572,1224165-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-08,WELLPET LLC,LAEM CHABANG,NEW YORK,4959.89,4267.89,692.0,4782.5,4959.89,177.39,10430.0,401.0,1.0,40',10430.0
4578,1224171-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-08,WELLPET LLC,LAEM CHABANG,LOS ANGELES,3486.08,2759.01,727.07,3350.0,3486.08,136.08,7546.0,40.0,1.0,40'HQ,7546.14
4640,1224226-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-15,WELLPET LLC,LAEM CHABANG,NEW YORK,5281.44,4494.44,787.0,5186.25,5281.44,95.19,7214.0,40.0,1.0,40',7214.4
4641,1224227-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-15,WELLPET LLC,LAEM CHABANG,NEW YORK,5004.97,4341.44,663.53,4830.0,5004.97,174.97,15160.0,40.0,1.0,40',15160.0
4663,1224245-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-09,WELLPET LLC,LAEM CHABANG,LOS ANGELES,3753.27,2947.15,806.12,3514.18,3753.27,239.09,18959.0,25.0,1.0,40',18958.9
4676,1224258-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-22,WELLPET LLC,LAEM CHABANG,NEW YORK,4989.81,4629.06,360.75,4740.0,4989.81,249.81,20009.0,40.0,1.0,40',20008.6
4677,1224259-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-22,WELLPET LLC,LAEM CHABANG,NEW YORK,4954.03,4848.24,105.79,4740.0,4954.03,214.03,18695.0,40.0,1.0,40',18695.3
4678,1224260-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-22,WELLPET LLC,LAEM CHABANG,NEW YORK,5068.0,4386.0,682.0,4830.0,5068.0,238.0,20913.0,40.0,1.0,40',20913.1
4679,1224261-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-22,WELLPET LLC,LAEM CHABANG,NEW YORK,5125.89,4560.89,565.0,4870.0,5125.89,255.89,20228.0,40.0,1.0,40',20227.5
4680,1224262-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-22,WELLPET LLC,LAEM CHABANG,NEW YORK,4960.03,4806.78,153.25,4740.0,4960.03,220.03,18387.0,40.0,1.0,40',18387.2
4717,1224297-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-15,WELLPET LLC,LAEM CHABANG,LOS ANGELES,3791.02,3035.99,755.03,3574.18,3791.02,216.84,15519.0,40.0,1.0,40',15518.9
