FILE_NO,REPORT_DATE,Month,Year,DATE_OPENED,DIVISION,BUSINESS_LINE,METHOD_OF_TRANSPORT,CUSTOMER_NAME,CUSTOMER_CITY,SHIPPER_NAME,CONSIGNEE_NAME,GROSS_WEIGHT,REVENUE,EXPENSE,PROFIT,DUTY_BILLED,TOTAL_BILLED_TO_ACCOUNT,Rev._Less_Duties
2211087-01,2019-12-27,Dec,2019,11/14/2019,20,25,OI,"MALONE PADDLE GEAR, LLC",WESTBROOK,"PAN JACK INDUSTRIAL CO., LTD.","MALONE PADDLE GEAR, LLC","2,870",1758.32,1389.18,369.14,1637.63,1758.32,120.69
2211088-01,2019-12-20,Dec,2019,11/14/2019,20,25,OI,JOHNSON OUTDOORS WATERCRAFT INC,OLD TOWN,DONGGUAN YAOTAI METAL & ELECTRONICS,JOHNSON OUTDOORS WATERCRAFT INC,392,744.71,486.63,258.08,1820.78,744.71,-1076.07
2211089-01,2019-12-05,Dec,2019,11/14/2019,20,25,OI,BASKETVILLE INC,PUTNEY,CAOXIAN HENHZHENG ARTS & CRAFTS,BASKETVILLE INC,"4,254",1941.24,1456.24,485,4595.68,1941.24,-2654.44
2211090-01,2020-01-02,Jan,2020,11/15/2019,20,25,OI,EASTLAND SHOE CORP,FREEPORT,DONGGUAN SANYUAN SHOES,EASTLAND SHOE CORP,"6,077",3534.7,3123.12,411.58,23279.54,3534.7,-19744.84
2211090-02,2020-01-02,Jan,2020,11/15/2019,20,25,OI,EASTLAND SHOE CORP,FREEPORT,"MAXTRADE GLOBAL CO., LTD",EASTLAND SHOE CORP,"6,077",,,,23279.54,,-23279.54
2211090-03,2020-01-02,Jan,2020,11/15/2019,20,25,OI,EASTLAND SHOE CORP,FREEPORT,GUANGZHOU NEW LEADER FOOTWEAR CORP,EASTLAND SHOE CORP,"6,077",,,,23279.54,,-23279.54
2211091-01,2019-12-09,Dec,2019,11/15/2019,20,25,OI,"PARICON, LLC",SOUTH PARIS,NEW TIME PLASTIC MANUFACTURING LMT,"PARICON, LLC","8,760",3026.24,2606.24,420,7298,3026.24,-4271.76
2211092-01,2019-12-04,Dec,2019,11/18/2019,20,25,OI,ELAN USA CORPORATION,LEBANON,ELAN D.O.O.,ELAN USA CORPORATION,"7,708",14375.73,13950.73,425,5754.67,14375.73,8621.06
2211093-01,2019-12-21,Dec,2019,11/18/2019,20,25,OI,"PHOENIX FOOTWEAR GROUP, INC.",CARLSBAD,HK JUNTU TRADE CO LIMITED,"PHOENIX FOOTWEAR GROUP, INC.","6,210",6114.1,5847.1,267,26933.75,6114.1,-20819.65
2211094-01,2019-12-08,Dec,2019,11/19/2019,20,25,OI,K2 CASTINGS INC,PORTSMOUTH,SICHUAN KINTES TECHNOLOGY,K2 CASTINGS INC,"18,110",2500,2280,220,,2500,2500
2211095-01,2019-12-23,Dec,2019,11/19/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,477,781.68,515.2,266.48,437.25,781.68,344.43
2211096-01,2019-12-20,Dec,2019,11/19/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,756,1346.25,1093.75,252.5,587.5,1346.25,758.75
2211097-01,2020-01-07,Jan,2020,11/19/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,"DA JIXING INDUSTRY CO., LTD",HUSSEY SEATING COMPANY,101,532.05,390.65,141.4,,532.05,532.05
2211098-01,2019-12-29,Dec,2019,11/19/2019,20,25,OI,WALLINGFORDS INC.,NEW HAMPTON,"QINGDAO HAILIFENG RIGGING CO., LTD",WALLINGFORDS INC.,"18,520",2100,1762.5,337.5,12073.01,2100,-9973.01
2211099-01,2019-12-20,Dec,2019,11/19/2019,20,25,OI,K2 SPORTS LLC,SEATTLE,CALZATURIFICIO DAL BELLO S.R.L.,K2 SPORTS LLC,,110,,110,,110,110
2211100,2019-12-09,Dec,2019,11/19/2019,20,25,OI,DIETRICH AB LOGISTIC,ISTANBUL,NORANOGLU UZAY VE SAVUNMA TEKSAN,WELKIN INSTRUMENTS LLC,580,944.38,849.38,95,,,944.38
2211101-01,2019-12-13,Dec,2019,11/20/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,"11,372",6529,5934.04,594.96,10678,6529,-4149
2211102-01,2020-01-02,Jan,2020,11/21/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,"5,280",3604.72,3121.22,483.5,6026.25,3604.72,-2421.53
2211103-01,2020-01-03,Jan,2020,11/21/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,969,1070.33,771.5,298.83,6229.5,1070.33,-5159.17
2211104-01,2019-12-04,Dec,2019,11/21/2019,20,25,OI,ELDUR CORPORATION,BANGOR,FEINDRAHTWERK ADOLF EDELHOFF GMBH,ELDUR CORPORATION,376,880.34,515.34,365,91.29,880.34,789.05
2211105-01,2019-12-10,Dec,2019,11/21/2019,20,25,OI,P.A.T. PRODUCTS INC,HERMON,WILLY BENECKE GMBH,P.A.T. PRODUCTS INC,"15,795",2600,2177.49,422.51,,2600,2600
2211106-01,2019-12-12,Dec,2019,11/22/2019,20,25,OI,MARKER VOLKL USA,LEBANON,CALZATURIFICIO DAL BELLO S.R.L.,MARKER VOLKL USA,"7,082",5325.76,4959.19,366.57,,5325.76,5325.76
