,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
108039,1232432-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-25,WELLPET LLC,LAEM CHABANG,COLUMBUS,8232.94,7819.19,413.75,7982.0,8232.94,250.94,19190.0,55.0,1.0,40HQ,19190.9
108164,1232433-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-25,WELLPET LLC,LAEM CHABANG,COLUMBUS,8221.35,7807.6,413.75,7982.0,8221.35,239.35,19399.0,55.0,1.0,40HQ,19399.6
108165,1232434-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-13,WELLPET LLC,LAEM CHABANG,COLUMBUS,8480.03,8151.28,328.75,8132.0,8480.03,348.03,20239.0,55.0,1.0,40HQ,20239.34
108179,1232435-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-25,WELLPET LLC,LAEM CHABANG,COLUMBUS,8209.25,4556.5,3652.75,7982.0,8209.25,227.25,15309.0,55.0,1.0,40HQ,15308.88
108229,1232032-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-17,WELLPET LLC,LAEM CHABANG,OAKLAND,5811.37,5365.1,446.27,5520.0,5811.37,291.37,17166.0,55.0,1.0,40HQ,17166.12
108233,1232036-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-27,WELLPET LLC,LAEM CHABANG,COLUMBUS,5459.86,5036.11,423.75,5170.0,5459.86,289.86,20536.0,55.0,1.0,40HQ,20536.0
108234,1232037-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-27,WELLPET LLC,LAEM CHABANG,COLUMBUS,5369.28,4915.53,453.75,5110.0,5369.28,259.28,17436.0,55.0,1.0,40HQ,17436.0
108236,1232039-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-27,WELLPET LLC,LAEM CHABANG,COLUMBUS,5402.37,4948.62,453.75,5110.0,5402.37,292.37,19886.0,55.0,1.0,40HQ,19886.2
108239,1232042-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-27,WELLPET LLC,LAEM CHABANG,COLUMBUS,5157.25,4793.5,363.75,4840.0,5157.25,317.25,15522.0,55.0,1.0,40HQ,15522.3
108241,1232044-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-27,WELLPET LLC,LAEM CHABANG,COLUMBUS,5158.35,4820.31,338.04,4840.0,5158.35,318.35,17070.0,55.0,1.0,40HQ,17070.81
108410,1232081-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-27,WELLPET LLC,LAEM CHABANG,COLUMBUS,5470.34,5046.59,423.75,5170.0,5470.34,300.34,21121.0,55.0,1.0,40HQ,21121.0
108414,1232082-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-27,WELLPET LLC,LAEM CHABANG,COLUMBUS,5288.02,4864.27,423.75,5020.0,5288.02,268.02,19341.0,55.0,1.0,40HQ,19341.0
108416,1232084-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-27,WELLPET LLC,LAEM CHABANG,COLUMBUS,5297.42,4873.67,423.75,5020.0,5297.42,277.42,19433.0,55.0,1.0,40HQ,19432.92
108417,1232085-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-27,WELLPET LLC,LAEM CHABANG,COLUMBUS,5224.08,4839.98,384.1,4975.0,5224.08,249.08,18137.0,55.0,1.0,40HQ,18137.4
108706,1232139-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-16,WELLPET LLC,LAEM CHABANG,COLUMBUS,5180.27,4813.02,367.25,4840.0,5180.27,340.27,17194.0,55.0,1.0,40HQ,17194.04
108708,1232141-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-16,WELLPET LLC,LAEM CHABANG,COLUMBUS,5100.38,4721.63,378.75,4885.0,5100.38,215.38,17007.0,55.0,1.0,40HQ,17007.75
109069,1232144-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-05,WELLPET LLC,LAEM CHABANG,COLUMBUS,5083.17,4719.42,363.75,4840.0,5083.17,243.17,16833.0,55.0,1.0,40HQ,16833.25
109079,1232153-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-28,WELLPET LLC,LAEM CHABANG,OAKLAND,6194.44,5832.44,362.0,5920.0,6194.44,274.44,19180.0,55.0,1.0,40HQ,19180.15
109082,1232156-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-28,WELLPET LLC,LAEM CHABANG,OAKLAND,6217.81,5723.19,494.62,5920.0,6217.81,297.81,18399.0,55.0,1.0,40HQ,18399.26
109086,1232364-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-10,WELLPET LLC,LAEM CHABANG,COLUMBUS,8370.01,7941.26,428.75,8117.0,8370.01,253.01,17476.0,55.0,1.0,40HQ,17476.0
109110,1232365-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-21,WELLPET LLC,LAEM CHABANG,COLUMBUS,8418.21,7974.46,443.75,8162.0,8418.21,256.21,18004.0,55.0,1.0,40HQ,18004.44
109523,5101061-01,50,OE,15.0,36.0,VALERIE KOEN,2021-02-03,WELLPET LLC,BANGKOK,MELBOURNE,3351.0,3141.0,210.0,3351.0,3351.0,0.0,5834.64,0.0,1.0,,5834.64
109582,1232740-01,10,OI,25.0,36.0,VALERIE KOEN,2021-01-14,WELLPET LLC,LAEM CHABANG,COLUMBUS,8674.99,8156.24,518.75,8437.0,8674.99,237.99,18383.0,55.0,1.0,40HQ,18383.2
109583,1232741-01,10,OI,25.0,36.0,VALERIE KOEN,2021-01-14,WELLPET LLC,LAEM CHABANG,COLUMBUS,8647.93,8144.18,503.75,8392.0,8647.93,255.93,18344.0,55.0,1.0,40HQ,18344.5
109584,1232742-01,10,OI,25.0,36.0,VALERIE KOEN,2021-01-14,WELLPET LLC,LAEM CHABANG,COLUMBUS,8603.36,8173.12,430.24,8347.0,8603.36,256.36,18229.0,55.0,1.0,40HQ,18228.75
109830,1232369-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-21,WELLPET LLC,LAEM CHABANG,COLUMBUS,8387.29,7973.54,413.75,8072.0,8387.29,315.29,18697.0,55.0,1.0,40HQ,18697.08
109945,1232371-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-21,WELLPET LLC,LAEM CHABANG,COLUMBUS,8369.19,4644.44,3724.75,8162.0,8369.19,207.19,15163.0,55.0,1.0,40HQ,15163.2
111850,1232377-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-21,WELLPET LLC,LAEM CHABANG,COLUMBUS,8475.86,8224.49,251.37,8207.0,8475.86,268.86,15484.0,55.0,1.0,40HQ,15484.0
112166,1232506-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-10,WELLPET LLC,LAEM CHABANG,COLUMBUS,8434.23,7883.48,550.75,8162.0,8434.23,272.23,16322.0,0.0,1.0,40HQ,16321.88
112167,1232507-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-10,WELLPET LLC,LAEM CHABANG,COLUMBUS,8276.24,7785.49,490.75,7982.0,8276.24,294.24,18594.0,0.0,1.0,40HQ,18594.28
112185,1232508-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-10,WELLPET LLC,LAEM CHABANG,COLUMBUS,8274.83,7784.08,490.75,7982.0,8274.83,292.83,17064.0,0.0,1.0,40HQ,17064.18
112312,1232509-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-10,WELLPET LLC,LAEM CHABANG,COLUMBUS,8300.71,7809.96,490.75,7982.0,8300.71,318.71,17706.0,0.0,1.0,40HQ,17706.24
112332,1232463-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-21,WELLPET LLC,LAEM CHABANG,OAKLAND,6750.42,6175.22,575.2,6503.0,6750.42,247.42,19513.0,55.0,1.0,40HQ,19513.0
