,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER CODE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
150,130032185-01,10,AE,35.0,22.0,MOLIVEIRA,2020-08-18,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,GENEVA  SWITZERLAND,1311.98,959.12,352.86,1311.98,1311.98,0.0,85.0,1.196,0.0,,85.0
151,633010336-01,60,AE,35.0,22.0,MOLIVEIRA,2021-05-05,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,6093.65,5066.7,1026.95,6093.65,6093.65,0.0,118.0,1.475,0.0,,118.0
152,633010337-01,60,AE,35.0,22.0,MOLIVEIRA,2021-05-08,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,7945.01,6598.86,1346.15,7945.01,7945.01,0.0,200.0,2.071,0.0,,200.0
153,633010400-01,60,AE,35.0,22.0,MOLIVEIRA,2021-05-11,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4295.53,3527.1,768.43,4295.53,4295.53,0.0,70.0,0.975,0.0,,70.0
154,633006633-01,60,AE,35.0,22.0,MOLIVEIRA,2020-03-14,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4149.46,3039.75,1109.71,4149.46,4149.46,0.0,66.0,1.164,0.0,,66.0
155,633006634-01,60,AE,35.0,22.0,MOLIVEIRA,2020-03-07,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4769.18,3630.39,1138.79,4769.18,4769.18,0.0,110.0,1.57,0.0,,110.0
156,633006635-01,60,AE,35.0,22.0,MOLIVEIRA,2020-03-03,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,3910.43,3096.44,813.99,3910.43,3910.43,0.0,77.0,1.066,0.0,,77.0
157,633006636-01,60,AE,35.0,22.0,MOLIVEIRA,2020-03-10,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,3471.77,2716.42,755.35,3471.77,3471.77,0.0,53.0,0.913,0.0,,53.0
158,633006793-01,60,AE,35.0,22.0,MOLIVEIRA,2020-04-01,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,3968.88,3103.11,865.77,3968.88,3968.88,0.0,59.0,1.101,0.0,,59.0
159,633006801-01,60,AE,35.0,22.0,MOLIVEIRA,2020-03-22,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4626.6,3539.08,1087.52,4626.6,4626.6,0.0,104.0,1.601,0.0,,104.0
160,633006802-01,60,AE,35.0,22.0,MOLIVEIRA,2020-03-25,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,5837.6,4776.65,1060.95,5837.6,5837.6,0.0,155.0,1.542,0.0,,155.0
161,633006803-01,60,AE,35.0,22.0,MOLIVEIRA,2020-03-30,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4068.57,3236.42,832.15,4068.57,4068.57,0.0,98.0,1.101,0.0,,98.0
162,633007001-01,60,AE,35.0,22.0,MOLIVEIRA,2020-04-18,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,2738.25,2187.18,551.07,2738.25,2738.25,0.0,52.0,0.598,0.0,,52.0
163,633007002-01,60,AE,35.0,22.0,MOLIVEIRA,2020-04-08,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4214.41,3400.41,814.0,4214.41,4214.41,0.0,99.0,1.07,0.0,,99.0
164,633007003-01,60,AE,35.0,22.0,MOLIVEIRA,2020-04-11,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,3824.45,2992.44,832.01,3824.45,3824.45,0.0,124.0,1.133,0.0,,124.0
165,633007117-01,60,AE,35.0,22.0,MOLIVEIRA,2020-05-02,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4483.9,3673.22,810.68,4483.9,4483.9,0.0,145.0,1.221,0.0,,145.0
166,633007139-01,60,AE,35.0,22.0,MOLIVEIRA,2020-04-25,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,5131.7,4247.43,884.27,5131.7,5131.7,0.0,111.0,1.385,0.0,,111.0
167,633007143-01,60,AE,35.0,22.0,MOLIVEIRA,2020-04-29,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4213.46,3359.18,854.28,4213.46,4213.46,0.0,117.0,1.221,0.0,,117.0
168,633007186-01,60,AE,35.0,22.0,MOLIVEIRA,2020-05-06,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,2437.93,2039.13,398.8,2437.93,2437.93,0.0,43.0,0.294,0.0,,43.0
169,633007219-01,60,AE,35.0,22.0,MOLIVEIRA,2020-05-09,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4740.71,3901.5,839.21,4740.71,4740.71,0.0,98.0,1.192,0.0,,98.0
170,633007253-01,60,AE,35.0,22.0,MOLIVEIRA,2020-05-13,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4422.51,3544.58,877.93,4422.51,4422.51,0.0,74.0,1.098,0.0,,74.0
171,633007272-01,60,AE,35.0,22.0,MOLIVEIRA,2020-05-18,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4808.85,3932.01,876.84,4808.85,4808.85,0.0,91.0,1.164,0.0,,91.0
172,633007285-01,60,AE,35.0,22.0,MOLIVEIRA,2020-05-20,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,5574.8,4732.11,842.69,5574.8,5574.8,0.0,108.0,1.029,0.0,,108.0
173,633007324-01,60,AE,35.0,22.0,MOLIVEIRA,2020-05-23,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4412.98,3593.32,819.66,4412.98,4412.98,0.0,85.0,1.101,0.0,,85.0
174,633007348-01,60,AE,35.0,22.0,MOLIVEIRA,2020-06-10,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4094.51,3200.91,893.6,4094.51,4094.51,0.0,88.0,1.129,0.0,,88.0
175,633007375-01,60,AE,35.0,22.0,MOLIVEIRA,2020-05-30,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,7400.62,5821.42,1579.2,7400.62,7400.62,0.0,192.0,2.266,0.0,,192.0
176,633007426-01,60,AE,35.0,22.0,MOLIVEIRA,2020-06-06,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4566.99,3671.86,895.13,4566.99,4566.99,0.0,101.0,1.133,0.0,,101.0
177,633007473-01,60,AE,35.0,22.0,MOLIVEIRA,2020-06-13,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4494.08,3742.48,751.6,4494.08,4494.08,0.0,103.0,1.032,0.0,,103.0
178,633007501-01,60,AE,35.0,22.0,MOLIVEIRA,2020-06-17,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,3041.62,2440.63,600.99,3041.62,3041.62,0.0,62.0,0.598,0.0,,62.0
179,633007524-01,60,AE,35.0,22.0,MOLIVEIRA,2020-06-20,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,5881.98,4974.96,907.02,5881.98,5881.98,0.0,134.0,1.381,0.0,,134.0
180,633007540-01,60,AE,35.0,22.0,MOLIVEIRA,2020-06-24,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4869.46,3800.18,1069.28,4869.46,4869.46,0.0,129.0,1.447,0.0,,129.0
181,633007575-01,60,AE,35.0,22.0,MOLIVEIRA,2020-06-27,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4463.12,3629.02,834.1,4463.12,4463.12,0.0,118.0,1.192,0.0,,118.0
182,633007595-01,60,AE,35.0,22.0,MOLIVEIRA,2020-07-01,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,5564.52,4448.63,1115.89,5564.52,5564.52,0.0,114.0,1.475,0.0,,114.0
183,633007622-01,60,AE,35.0,22.0,MOLIVEIRA,2020-07-04,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4765.62,3825.82,939.8,4765.62,4765.62,0.0,96.0,1.416,0.0,,96.0
184,633007651-01,60,AE,35.0,22.0,MOLIVEIRA,2020-07-08,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,5332.03,4095.79,1236.24,5332.03,5332.03,0.0,103.0,1.888,0.0,,103.0
185,633007665-01,60,AE,35.0,22.0,MOLIVEIRA,2020-07-11,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,5527.97,4436.34,1091.63,5527.97,5527.97,0.0,116.0,1.542,0.0,,116.0
186,633007696-01,60,AE,35.0,22.0,MOLIVEIRA,2020-07-15,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,3752.65,2991.91,760.74,3752.65,3752.65,0.0,72.0,0.972,0.0,,72.0
187,633010442-01,60,AE,35.0,22.0,MOLIVEIRA,2021-05-15,AKOBIO02,"AKOYA BIOSCIENCES, INC",LOS ANGELES INT'L AIRPORT,AMSTERDAM,6907.86,5833.44,1074.42,6907.86,6907.86,0.0,201.0,1.589,0.0,,201.0
188,633010488-01,60,AE,35.0,22.0,MOLIVEIRA,2021-05-19,AKOBIO02,"AKOYA BIOSCIENCES, INC",LOS ANGELES INT'L AIRPORT,AMSTERDAM,5910.0,4824.28,1085.72,5910.0,5910.0,0.0,145.0,1.586,0.0,,145.0
189,633010495-01,60,AE,35.0,22.0,MOLIVEIRA,2021-05-26,AKOBIO02,"AKOYA BIOSCIENCES, INC",LOS ANGELES INT'L AIRPORT,AMSTERDAM,8111.96,6734.16,1377.8,8111.96,8111.96,0.0,291.0,2.243,0.0,,291.0
